ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018052,10/18/2018 5:20,29449,0,0,317,60,10063,1
1018052,10/18/2018 5:20,29465,0,0,286,0,5093,1
1018053,10/18/2018 5:30,27214,0,12,594,30,9078,0.998678123
1018053,10/18/2018 5:30,28672,0,0,6,0,510,1
1018053,10/18/2018 5:30,28681,0,79,1937,249,26498,0.997018643
1018053,10/18/2018 5:30,28682,0,36,5121,397,55191,0.99934772
1018053,10/18/2018 5:30,28683,18,14,4239,133,27671,0.998843555
1018053,10/18/2018 5:30,28684,0,20,2068,150,50645,0.999605094
1018053,10/18/2018 5:30,28685,10,3,3033,170,55778,0.999766933
1018053,10/18/2018 5:30,28688,12,0,3146,130,40935,0.999706852
1018053,10/18/2018 5:30,29449,0,0,429,84,9927,1
1018053,10/18/2018 5:30,29465,0,0,292,0,4579,1
1018054,10/18/2018 5:40,27214,0,0,279,63,7782,1
1018054,10/18/2018 5:40,28672,0,0,6,0,516,1
1018054,10/18/2018 5:40,28681,0,8,1382,298,26027,0.999692627
1018054,10/18/2018 5:40,28682,0,34,4387,435,51920,0.999345146
1018054,10/18/2018 5:40,28683,10,12,4082,274,28020,0.999214847
1018054,10/18/2018 5:40,28684,0,12,2067,127,49865,0.99975935
1018054,10/18/2018 5:40,28685,0,3,2423,106,52488,0.999942844
1018054,10/18/2018 5:40,28688,12,29,2881,190,41058,0.999001413
1018054,10/18/2018 5:40,29449,14,18,380,52,9231,0.99653342
1018054,10/18/2018 5:40,29465,0,0,345,28,4700,1
1018055,10/18/2018 5:50,27214,0,39,435,69,8832,0.995584239
1018055,10/18/2018 5:50,28672,0,0,0,0,384,1
1018055,10/18/2018 5:50,28681,0,0,1303,179,24833,1
1018055,10/18/2018 5:50,28682,0,29,4596,253,51961,0.999441889
1018055,10/18/2018 5:50,28683,0,24,3403,42,25560,0.999061033
1018055,10/18/2018 5:50,28684,0,0,1449,31,49303,1
1018055,10/18/2018 5:50,28685,8,26,2705,99,53718,0.999367065
